"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jun 11 17:38:47 GMT 2023","Sun Jun 11 17:38:47 GMT 2023","0","","test_tourist","","","","Delete Tourist - Successful",""
"failed","Sun Jun 11 17:38:48 GMT 2023","Sun Jun 11 17:38:48 GMT 2023","517","","test_tourist","","","","Delete Tourist - Non-existing Tourist",""
"broken","Sun Jun 11 17:38:47 GMT 2023","Sun Jun 11 17:38:47 GMT 2023","0","","test_tourist","","","","Delete Tourist - Deleting Same Tourist Twice",""
"passed","Sun Jun 11 17:38:46 GMT 2023","Sun Jun 11 17:38:47 GMT 2023","511","","test_tourist","","","","Login - Empty Credentials",""
"passed","Sun Jun 11 17:38:45 GMT 2023","Sun Jun 11 17:38:46 GMT 2023","572","","test_tourist","","","","Login - Successful",""
"passed","Sun Jun 11 17:38:46 GMT 2023","Sun Jun 11 17:38:46 GMT 2023","547","","test_tourist","","","","Login - Incorrect Credentials",""
